spam,internet,order,mail,report,free,business,email,you,money,george,meeting,re,conference,ch$,crl.long
1,1.09,0.36,0.36,0,1.09,0.36,0.36,2.19,0,0,0,0,0,0.332,30
1,0,0.06,0,0,0,0,0.12,1.67,0,0,0,0,0,0.071,43
1,0,0,0,0,0,0,0,0,1.26,0,0,1.26,0,0.596,17
1,1.1,0.36,0.36,0,1.1,0.36,0.36,2.2,0,0,0,0,0,0.333,30
1,0,0,0,0,1.08,0,0,1.08,0,0,0,0,0,0,30
1,0,0,0,0,0,1.04,0,3.66,0,0,0,0,0,0.061,59
1,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,8
1,0,0,0,0,0.45,0,0.91,1.36,0,0,0,0,0,0,61
1,0,0,0,0,0.42,0,0.84,2.1,0,0,0,0.42,0,0,121
1,0,0,0.59,0,0,0,1.18,1.77,0,0,0,0,0,0,66
1,0,0,0,0.23,0.23,0.23,0,7.1,0.23,0,0,0.71,0,0,11
1,0.93,0,0,0,1.39,0,0.46,0.93,0,0,0,0,0,0,8
1,0,0,0.34,0,0.34,0,1.36,3.42,0,0,0,0,0,0.048,15
1,0.36,0,0,0,0,0,0,4.1,0,0,0,0,0,0.019,34
1,0,0,0.66,0,1.98,1.32,0,1.32,0,0,0,0,0,0,34
1,0,0,0.97,0,0.48,0,0,0.97,0.48,0,0,0,0,0.294,47
1,0,0,1.47,0,0,0,0,5.88,0,0,0,0,0,0,3
1,0,0,0.92,0.3,2.15,0.61,0,5.53,0.3,0,0,0.3,0,0.351,66
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,59
1,1.26,1.26,1.26,0,0,5.06,0,2.53,0,0,0,0,0,0,287
1,0,0,0,0,0.53,0,1.06,1.6,0,0,0,0,0,0,61
1,0,0,0,0,0.44,0,0.89,2.24,0,0,0,0.44,0,0,121
1,0,0,0,0,0.92,0,0.92,2.76,0,0,0,0.46,0,0.223,13
1,0,0,0,0,0.48,0.96,0,2.41,0,0,0,0.48,0,0.243,78
1,0,0,0.94,0,2.83,0,0,0.94,0,0,0,0,0,0,245
1,0,0,0,0,0,0,0.59,4.14,0,0,0,0,0,0.082,16
1,0.25,0.75,0.31,0.37,0.37,0.44,0.12,2.96,0.75,0,0,0,0,0.234,45
1,0,0,1.04,0,0.83,0.2,0,2.09,0,0,0,0.41,0.2,0,15
1,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0.338,5
1,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,29
1,0,0,0.95,0.23,0.23,0.95,0,2.38,0.47,0,0,0,0,0,280
1,1.45,0,0,0,2.91,0,0.72,1.45,0,0,0,0,0,0,8
1,0,0,0,0,1.28,0,0,2.56,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1,1.86,0,0.93,0,1.86,0,0,0.93,0.46,0,0,0,0,0.214,64
1,0,0,0,0,0.38,0,0.38,2.69,0.38,0,0,0,0,0.061,20
1,0,0,0,0,0.79,1.58,1.58,3.96,0,0,0,0.79,0,0,26
1,0,0.67,0.06,0,0.2,0,0,1.14,0.06,0,0.13,0.06,0,0.085,144
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
1,0,0,0,0,0.56,2.8,0,3.93,0,0,0,0,0,0.333,140
1,0.26,0.44,0.76,1.26,0.26,0.44,0,3.25,0.34,0,0,0.02,0,0.764,193
1,0.14,0.56,0.67,1.23,0.22,0.44,0.07,3.43,0.63,0,0,0.07,0,0.532,763
1,0.14,0.56,0.67,1.23,0.22,0.44,0.07,3.43,0.63,0,0,0.07,0,0.531,763
1,0.46,0,0,0,0,0.46,0.46,2.77,0,0,0,0,0,0.823,12
1,0,0,0,0,0,0,1.4,1.87,0,0,0,0.46,0,0,32
1,0,0,0,0,1.05,0,0.7,2.11,0,0,0,0.35,0,0,61
1,0,0,0,0,0.43,0,0.86,1.29,0,0,0,0,0,0,61
1,0,0,1.21,0,0.6,0,0,1.21,0,0,0,0,0,0,17
1,0,0,0,0,0.41,0,0.82,3.73,0.41,0,0,0.41,0,0.527,19
1,0,0,0,0,2.83,0,0,4.96,0,0,0,0,0,0,3
1,0,0,0,0,0.64,0,0,2.59,0,0,0,0,0,0,131
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1,0,0,0,0,0.64,0,0,2.59,0,0,0,0,0,0,131
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1,0,0,0,0,0.64,0,0,2.59,0,0,0,0,0,0,131
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1,0,0,0,0,0.79,0,0,1.58,0,0,0,0,0,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,60
1,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,7
1,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,27
1,0,0,0,0,0,0,0.76,1.52,0,0,0,0,0,0.177,79
1,0,0,0,0,0,0,0.47,0.95,0,0,0,0,0,0,6
1,0.5,0.25,3.9,0,0.25,0.12,0,2.9,0.12,0,0,0,0,0.119,38
1,0,0,0,0,0.51,0,0,1.53,0,0,0,0.51,0,0,19
1,0.05,0.1,0,0,0,0,0.5,1.55,0.2,0,0,0.05,0,0.118,96
1,0.05,0.1,0,0,0,0,0.5,1.55,0.2,0,0,0.05,0,0.118,96
1,1.28,1.28,1.28,0,0,5.12,0,2.56,0,0,0,0,0,0,304
1,0,0,0,0,0.55,2.79,0,3.91,0,0,0,0,0,0.331,140
1,0.05,0.1,0,0,0,0,0.5,1.55,0.2,0,0,0.05,0,0.118,96
1,0.05,0.1,0,0,0,0,0.5,1.55,0.2,0,0,0.05,0,0.118,96
1,0.19,0.57,0.65,1.27,0.23,0.42,0,3.08,0.5,0,0,0.03,0,1.281,595
1,0,0,0.48,0,0.16,0,0.8,0.16,0,0,0,0,0,0.024,149
1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.322,49
1,0.84,0.16,0.5,0,0,1.68,0.33,2.18,0.33,0,0,0,0,0.054,101
1,0,0,0,0,0,0,0,4.04,0,0,0,1.01,0,0.178,53
1,0,0,0,0,0,0,0.59,4.76,0.59,0,0,0,0,0,33
1,1.2,0,0.4,0,0,1.6,0.4,4,0,0,0,0,0,0.212,13
1,0,0,0,0,0.41,0,0,7.05,0.41,0,0,0,0,0.149,335
1,0,0,1.14,0,0.38,0.76,0,3.04,0,0,0,1.14,0,0.179,78
1,0.4,0,0,0,0.4,0,0,4,0.4,0,0,0,0,0,12
1,0,0,0.56,0,0.56,0,0,2.25,0,0,0,0.56,0,0,19
1,0,0,0,0,0,0.16,0.16,1.6,0,0,0,0,0,0.174,24
1,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.431,25
1,0.19,0,0,0,0.98,0.19,0.39,0.59,0,0,0,0,0,0.16,31
1,0.19,0,0,0,0.98,0.19,0.39,0.59,0,0,0,0,0,0.16,31
1,0,0,0,0,0.66,0.66,0,2.33,0.33,0,0,0,0,0.541,21
1,0,0,0,0,2.98,0,1.49,0,0,0,0,0,0,0,2
1,0,0.82,0,0,0.82,0,0,1.65,0,0,0,0,0,0,11
1,0,0,0,0,0.66,0.66,0,2.33,0.33,0,0,0,0,0.541,21
1,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0.279,23
1,0.19,0.57,0.65,1.27,0.23,0.42,0,3.08,0.5,0,0,0.03,0,1.281,595
1,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0.279,23
1,0,0,0,0,2.77,0,4.16,4.16,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.431,27
1,0,0,0,0,0.66,0.66,0,2.33,0.33,0,0,0,0,0.541,21
1,0,0,0.43,0,0.14,0,0.72,0.58,0,0,0,0.14,0,0.023,132
1,0,0,0,0,0,0,0,0.72,0.72,0,0,0,0,0.126,35
1,2.98,0.54,0.81,0,0.81,1.63,0.27,2.17,0.27,0,0,0,0,0.121,18
1,0,0,0,0,0,1.17,0.78,3.13,1.56,0,0,0,0,0,19
1,0,0,0,0,0.56,2.82,0,3.95,0,0,0,0,0,0.33,140
1,0,0,0,0,0,0.67,0.67,4.05,0,0,0,0,0,0,3
1,0,0,0.62,0,0.62,0,0,1.24,0,0,0,0,0,0,16
1,0,0,0.33,0,0.33,0,0,2.02,0,0,0,0.33,0,0,19
1,0,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,11
1,1.31,1.31,1.31,0,0,1.31,0,1.31,0,0,0,0,0,0.117,186
1,0,0,0,0,0.45,0.45,0.45,1.81,0,0,0,0,0,0,46
1,0,0,0.42,0,0,1.7,0,0.85,0.42,0,0,0,0,0,107
1,0,0,0.83,0,0,0,0,0.27,0,0,0,0,0,0.185,99
1,0,0,0.65,0,0.43,0,0.21,0.21,0,0,0,0,0,0.146,99
1,0.46,0,0,0,0,0.46,0.46,2.77,0,0,0,0,0,0.816,12
1,0.29,0,0,0,0.87,0.29,0.43,3.66,0,0,0,0.58,0,0,38
1,0,0,0.34,0,0.68,0,1.37,1.03,0,0,0,0,0,0,13
1,0.46,0,0,0,0,0.46,0.46,2.77,0,0,0,0,0,0.816,12
1,0,0,0,0,0,1.24,1.24,5.59,0.62,0,0,0,0,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1,0,0,0,0,0.35,0,1.42,1.77,0,0,0,0,0,0,61
1,0,0,0.45,0,0.15,0,0.76,0.15,0,0,0,0,0,0.024,132
1,0,0,0.57,0,0,0,0.57,4.62,0.57,0,0,0,0,0,33
1,0,0.52,0,0,0.79,0,0,1.32,0.52,0,0,0,0,0,71
1,0.42,0.08,0.08,0.17,0,0.17,0.08,1.2,0.08,0,0,0,0,0.013,48
1,0,0,0.5,0,0.5,0,0,2.5,0,0,0,0.5,0,0,19
1,0,0,0.54,0,0.54,0,0,1.64,0,0,0,0.54,0,0,16
1,2.34,0,0.78,0,0,0.78,0,3.12,0,0,0,0,0,0,15
1,2.04,0,0,0,0,0,0,4.08,0,0,0,0,0,0,18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0.44,0,0.44,0,0,4.03,0.44,0,0,0.44,0,0.145,28
1,0,0,0,0,0.33,0,1.32,2.64,0,0,0,0.33,0,0,121
1,2.04,0,0,0,0,0,0,4.08,0,0,0,0,0,0,18
1,0.25,0.08,1.46,0,0.08,0,0,3.01,0.34,0,0,0.17,0,0.258,300
1,0.26,0.08,1.47,0,0.08,0,0,3.03,0.34,0,0,0.17,0,0.259,62
1,0,0,0.43,0,0,1.74,0,0.87,0.43,0,0,0,0,0,107
1,0,0,0.44,0,0.44,0,0,4.46,0.44,0,0,0.44,0,0.144,28
1,0,0,0.36,0,0,0,0,2.53,0,0,0,0.36,0,0,7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.05,0.11,0,0,0.05,0,0.53,1.19,0.23,0,0,0,0,0.14,14
1,0,0,0,3.12,3.12,0,0,6.25,0,0,0,0,0,0,60
1,0,0,1.59,0,1.59,0.53,0.53,6.91,0.53,0,0,0,0,0.186,85
1,0,0,0,0,0.46,0.46,0,1.87,0,0,0,0,0,0,46
1,1.12,0,0,0,2.25,0,1.12,2.25,0,0,0,0,0,0,5
1,0,0,0,0,0,0.66,0,5.29,1.32,0,0,0,0,0.069,43
1,0,0,0.8,0,1.61,0,0.8,0.8,0,0,0,0,0,0,12
1,0,0,0.43,0,0.14,0,0.72,0.43,0,0,0,0,0,0.046,132
1,0.42,0.08,0.08,0.17,0,0.17,0.08,1.2,0.08,0,0,0,0,0.013,48
1,0,0,0.81,0,0,0,0,1.63,0,0,0,0,0,0.147,11
1,0,0,0,0,0.54,0.54,0,4.32,0,0,0,0.54,0,0.252,68
1,0.42,0.08,0.08,0.17,0,0.17,0.08,1.2,0.08,0,0,0,0,0.013,48
1,0,0,0,0,0.53,0.53,0,4.3,0,0,0,0.53,0,0.253,68
1,0,0,0.51,0,2.07,0,2.07,1.03,0,0,0,0,0,0,17
1,0,0,0,0,0.54,3.29,0,3.84,0,0,0,0,0,0.321,140
1,0,0,0.77,0,0.38,0.77,0,2.7,0,0,0,1.15,0,0.184,78
1,0,0,0.78,0,0.39,0.78,0,2.73,0,0,0,1.17,0,0.186,78
1,0,0,0,0,0,0.86,0.43,1.29,1.29,0,0,0,0,0,47
1,0.45,0,0.22,0,0,0.91,1.83,1.83,0,0,0,0,0,0.112,30
1,0,0,0.56,0,0.56,0,0,2.25,0,0,0,0.56,0,0,19
1,0,0,0.55,0,0.55,0,0,1.67,0,0,0,0.55,0,0,16
1,0,0,0,0,0,0,0,5.26,1.31,0,0,0,0,0.068,43
1,0,0,0,0,0,1.23,1.85,2.46,0,0,0,0,0,0,13
1,0.44,0.22,2.88,0,0.44,0,0.44,3.33,0.44,0,0,0,0,0.15,1038
1,0.25,0.08,1.63,0,0.08,0,0,3,0.34,0,0,0.17,0,0.223,62
1,0,0,0,0,2.08,0,0,2.08,0,0,0,0,0,0,11
1,0,0,0,0,0,0,0,1.33,0,0,0,0,0,1.417,223
1,0,0,0,0,0.54,0.54,0,4.32,0,0,0,0.54,0,0.253,68
1,0,0,0,0,0,1.25,0,3.12,0,0,0,0,0,0,18
1,0,0,0,0,0.9,0,1.81,3.63,0,0,0,0.9,0,0.165,41
1,0.02,0.15,0,0.07,0.05,0.22,0,0.05,0.02,0,0,0.02,0,0.022,20
1,0.02,0.15,0,0.07,0.05,0.22,0,0.05,0.02,0,0,0.02,0,0.022,20
1,0.17,0.62,0.8,0,0.62,0.08,1.43,2.5,0.08,0,0,0.08,0,0.185,583
1,0,0.48,0,0,0.96,0.96,0,1.44,0,0,0,0.48,0,0.267,61
1,0.46,0,0,0,0,0.46,0.46,2.77,0,0,0,0,0,0.816,12
1,0,0,0.68,0,0.68,0,0,5.86,0.34,0,0,0.34,0,0.061,12
1,0,0.54,0.36,0.36,0.72,0,0.18,2.7,0.54,0,0,0,0,0.063,363
1,0.13,0,0.26,0,1.57,0,0.26,2.61,0.39,0,0,0,0,0.021,49
1,0.32,0,0,0,0.32,0.32,0,2.28,0.32,0,0,0.32,0,0.157,10
1,0.32,0,0,0,0.32,0.32,0,2.27,0.32,0,0,0.32,0,0.159,10
1,0.59,0,0,0,0.59,0.39,1.37,4.52,0.19,0,0,0,0,0.032,43
1,0.46,0,0.23,0,0,0.92,1.84,1.84,0,0,0,0,0,0.112,30
1,0,0,0,0,0.71,0,0,1.42,0,0,0,0.71,0,0,16
1,0,0,1.49,0,1.49,2.98,0,0,0,0,0,0,0,0.171,140
1,0,0.5,0,0,0.5,0,1.5,0.66,0,0,0,0,0,0.752,47
1,0,0,0.55,0,0.55,0,0,2.2,0,0,0,0.55,0,0,19
1,0,0,0.49,0,0.16,0,0.81,0.32,0,0,0,0,0,0.08,132
1,0,0,0.36,0,0,0.72,0,0.72,0,0,0,0,0,0,13
1,0,0.84,0.84,0,10.16,0.84,0,0.84,0.84,0,0,0,0,0.278,418
1,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,3
1,0.43,0.08,0.08,0.17,0,0.17,0.08,1.2,0.08,0,0,0,0,0.013,48
1,0,0,0.54,0,0,0,0.54,3.27,0,0,0,0.54,0,0,147
1,0,0,0,0,0.85,0,0.85,4.7,0,0,0,0,0,0.082,42
1,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,5
1,0,0.67,0.45,0,0.22,0,0,1.35,0.22,0,0,0,0,0.193,71
1,0,0,0.55,0,0,0,0.55,3.35,0,0,0,0.55,0,0,147
1,2.24,0,0,0,0,0,0,4.49,0,0,0,0,0,0,15
1,0.32,0,0,0,0.32,0.32,0,2.28,0.32,0,0,0.32,0,0.158,10
1,0.71,0,0.71,0,0,2.87,2.87,1.43,0,0,0,0,0,0,116
1,0,0,0.55,0,0,0,0.55,3.35,0,0,0,0.55,0,0,147
1,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0.437,10
1,0,0.47,0,0,0.95,0.95,0,1.42,0,0,0,0.47,0,0.263,61
1,0,0.63,0.15,0,1.11,0,1.27,0.79,0,0,0,0,0,0.707,51
1,0,0,0,0,0,0,0,0.39,0,0,0,0.39,0,0,21
1,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0.829,25
1,0,0.24,0.08,0.08,0.48,0.08,0.08,3.5,0.16,0,0,0,0,0.097,119
1,0.27,0.27,0.97,0,1.11,0.69,0.06,2.37,0.69,0,0,0.13,0,0.305,94
1,0.27,0.27,0.97,0,1.11,0.69,0.06,2.23,0.69,0,0,0.13,0,0.305,94
1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26
1,0.71,0,0.71,0,0,2.85,2.85,1.42,0,0,0,0,0,0,117
1,0,0,0,0,0.8,0.8,0,1.6,0,0,0,0,0,0.347,22
1,0.33,0,0,0,0.33,0.33,0,1.98,0.33,0,0,0.33,0,0.162,50
1,0,0.07,0.37,0,0,0.14,0.44,3.55,0.14,0,0,0,0,0.159,44
1,0.33,0,0,0,0.33,0.33,0,1.98,0.33,0,0,0.33,0,0.161,50
1,0,0.63,0.15,0,1.11,0,1.27,0.79,0,0,0,0,0,0.707,51
1,0,0,0,0,0.31,0,0,2.48,0,0,0,0,0,0,14
1,0,0,0.51,0,0.17,0,0.86,0.17,0,0,0,0,0,0.083,132
1,0,0,0,0,0.79,0.79,1.58,3.17,0,0,0,0.79,0,0.135,26
1,0,1.17,0.29,0,0.14,0,0.14,2.35,0.44,0,0,0,0,0.127,73
1,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,39
1,0.25,0,0,0,0.25,0.5,0,2.5,0.25,0,0,0,0,0.203,34
1,0,0,0,0.58,0.58,0,0.58,2.92,0,0,0,0,0,0.09,9
1,0,1.17,0.29,0,0.14,0,0.14,2.35,0.44,0,0,0,0,0.127,73
1,0,1.17,0.29,0,0.14,0,0.14,2.35,0.44,0,0,0,0,0.127,73
1,0,0,0,0,0.58,0,0,1.76,0,0,0,0,0,0,8
1,0,0.25,0.75,1.26,0,0.5,0,3.29,0,0,0,0,0,0.124,32
1,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,60
1,0,0,0.57,0,0,0,0.57,3.42,0,0,0,0.57,0,0,147
1,0.52,0,0.17,0,0,0.17,0.7,0.88,0,0,0,0,0,0.057,39
1,0,0.47,0,0,0.95,0.95,0,1.42,0,0,0,0.47,0,0.267,61
1,0,0,0.57,0,0,0,0.57,3.42,0,0,0,0.57,0,0,147
1,0,0,0.51,0,0.17,0,0.86,0.34,0,0,0,0,0,0,149
1,0,0,0.57,0,0,0,0.57,3.42,0,0,0,0.57,0,0,147
1,0,0,0,0,1.63,1.63,0,0,0,0,0,0,0,0.18,140
1,0,0.58,0,0,0.87,0,1.46,0.58,0,0,0,0,0,0.784,45
1,0,0,0.57,0,0.19,0,0.95,0.19,0,0,0,0,0,0.03,132
1,0.6,0.2,0.2,0,0.4,1.61,0.4,2.21,0.6,0,0,0,0,0.129,64
1,0,0.91,0,0,0,0,0,0.91,0,0,0,0,0,0,28
1,0,0.61,0,0,0.92,0,1.53,0.61,0,0,0,0,0,0.753,45
1,0,0,0,0,0.52,0,0,1.56,0,0,0,0,0,0,20
1,0,0,0,0,0.42,0,0,2.14,0,0,0,0.42,0,0,7
1,0.06,0.06,0.12,0.06,0,0.72,0.06,4.48,0.06,0,0,0.06,0,0.167,12
1,0.62,0.1,0.31,0,0.1,1.14,0.31,2.4,0.2,0,0,0,0,0.065,92
1,0,0,0,0,5.4,0,0.9,1.8,0,0,0,0,0,0.21,295
1,0.89,0.17,0.53,0,0,1.79,0,1.97,0.35,0,0,0,0,0.057,63
1,0,0.25,0.08,0.08,0.51,0.08,0.08,3.43,0.17,0,0,0,0,0.103,119
1,0.23,0,0.46,0,0,0.69,0.69,2.76,0.23,0,0,0,0,0.036,52
1,0.06,0.06,0.19,0,0,0,0,0.32,0,0,0,0,0,0.032,15
1,1.05,0,0,0,1.05,0,0,3.7,0.52,0,0,0,0,0.263,47
1,0.64,0,0,0,0.32,0.32,0,2.27,0.32,0,0,0.64,0,0.157,10
1,0,0,0,0,0.54,0.54,0,2.17,0,0,0,0,0,0.318,22
1,0,1.63,0,0,1.63,0,0,3.27,0,0,0,0,0,0.253,16
1,0.18,0.37,0.75,0,0,0.37,0,2.45,0.18,0.18,0,0,0,0.107,35
1,1.41,0,0,0,0.7,1.06,0,5.3,0,0,0,0.35,0,0,60
1,0.34,0,1.72,0,0,0,3.44,4.13,0,0,0,0,0,0,6
1,0.37,0.37,0.75,0,0,0.37,0,2.45,0.18,0.18,0,0,0,0.107,34
1,0,0,0,0,0.64,0.64,0,1.28,0,0,0,0,0,0.459,22
1,0.32,0,0,0,0.32,0.32,0,2.28,0.32,0,0,0.32,0,0.159,10
1,0,0,0,0,0.64,0.64,0,1.28,0,0,0,0,0,0.369,22
1,0,0,1.32,0.18,0.18,0,0,0.94,0,0,0,0,0,0.07,23
1,0,0.91,0,0,0,0,0,0.91,0,0,0,0,0,0,28
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0.43,0.43,0.43,1.72,0,0,0,0,0,0,46
1,0,0,0,0,0.43,0,0,2.17,0,0,0,0.43,0,0,6
1,0,0,0,0,0.34,0,1.37,1.72,0,0,0,0,0,0,61
1,0,0.65,0.16,0,1.64,0,0.65,0.82,0,0,0,0,0,0.663,52
1,0.06,0.06,0.12,0.06,0,0.72,0.06,4.49,0.06,0,0,0.06,0,0.167,12
1,0,0.34,0,0,0.46,0.23,0.34,0.58,0,0,0,0,0,0.094,48
1,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,5
1,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0.269,31
1,0,0,0,0,0,0,0,1.31,1.31,0,0,0,0,0.199,25
1,0.18,0.37,0.75,0,0,0.37,0,2.44,0.18,0.18,0,0,0,0.107,42
1,0.18,0.37,0.75,0,0,0.37,0,2.45,0.18,0.18,0,0,0,0.107,35
1,0.32,0,0,0,0.32,0.32,0,2.28,0.32,0,0,0.32,0,0.157,10
1,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,27
1,0,0,0,0,0.31,0,1.24,2.49,0,0,0,0.31,0,0,121
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,27
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0.69,0.17,0,1.74,0,0.69,1.04,0,0,0,0,0,0.681,52
1,0,0,0,0,0,2,3,2,1,0,0,0,0,0.137,11
1,0,0,0,0,1.05,1.05,0,3.15,0,0,0,1.05,0,0.175,28
1,0,0.65,0.16,0,2.13,0,0.65,0.98,0,0,0,0,0,0.67,52
1,0,0,0,0,0,0,0,3.07,0,0,0,1.53,0,0,75
1,0,0,0,0,0,0,0,1.31,1.31,0,0,0,0,0.201,25
1,0,0,0,0,1.28,0,0,3.84,0,0,0,1.28,0,0.23,41
1,0,0,0,0,0,0.47,0,0.94,0,0,0,0.47,0,0,11
1,0,0.25,0,0,0,0.25,0,2.81,0.76,0,0,0,0,0.209,75
1,0,0,0,0,0.36,0.73,0,1.09,0,0,0,0,0,0.181,58
1,0,0,0,0,1.29,0.64,0,1.93,0,0,0,0,0,0.37,22
1,1.29,0,0.43,0,0.43,0,1.73,0.43,0,0,0,0,0,0.062,8
1,0,0,0,0,1.28,0,0,3.84,0,0,0,1.28,0,0.23,41
1,0,0,0,0,0,0,1.21,1.82,0,0,0,0,0,0,11
